feature,importance
shot_distance,2.3092364230398035
x_coord,0.9730815263745969
zone_O,0.874693133353857
shot_type_other,0.8136765766684189
zone_N,0.8129796584553117
shot_type_tip-in,0.6626955936767861
shot_type_deflected,0.5603845723315318
period_1,0.5546587707549308
period_3,0.5370055258512838
shot_type_slap,0.5191637685601737
shot_type_backhand,0.5009017315790153
period_2,0.48824810757166753
shot_type_snap,0.367308716045595
shot_angle,0.16160786669628424
period_4,0.11896680370870523
is_behind_net,0.11617421355249168
shooting_team_strength_diff,0.09815693453593939
shot_type_wrist,0.047693218237473856
zone_D,0.011206416075983472
y_coord,0.008431092178098466
is_home_team,0.001073388770524309
