feature,importance
shot_distance,0.2120457
shot_type_snap,0.10277793
x_coord,0.0823689
shot_type_tip-in,0.06714466
shot_type_wrist,0.06124774
shooting_team_strength_diff,0.061243676
zone_O,0.05764521
shot_type_backhand,0.053744353
shot_angle,0.049006913
shot_type_slap,0.047820646
y_coord,0.03999499
shot_type_deflected,0.032506783
shot_type_other,0.029949054
zone_N,0.02951058
period_4,0.0285256
is_home_team,0.0082259895
period_2,0.007477661
zone_D,0.0073639704
period_3,0.0073511475
period_1,0.0071127056
is_behind_net,0.0069357934
